Original Operator,NNG Operator,Target,Staging Usage,Peak% (Staging),Op Cycles,Network% (cycles),NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network% (MAC),Util% (MAC),Name
Conv2D,Conv2D,NPU,166736,27.23589984841357,809,0.014208132812497255,809,700,781,0,0,12544,0.002136260009546412,6.056860321384425,tosa_rescale_default_83
Concat,MemoryCopy,NPU,153904,25.139825414249124,366,0.006427906810103827,366,38,0,0,0,196,3.3379062649162686e-05,0.20918715846994534,tosa_concat_default_14
Conv2D,Conv2D,NPU,203872,33.30197062359521,152195,2.672937915201508,152195,14700,80048,0,0,28901376,4.921943061994933,74.17852097637899,tosa_table_default_50
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_50
Conv2D,Conv2D,NPU,291520,47.61904761904762,152195,2.672937915201508,152195,19033,10937,0,0,28901376,4.921943061994933,74.17852097637899,tosa_table_default_51
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_51
Conv2D,Conv2D,NPU,204944,33.477079086299725,2734,0.048016112619737324,1985,2450,2734,0,0,50176,0.008545040038185648,7.168983174835406,tosa_rescale_default_80
Concat,MemoryCopy,NPU,154480,25.233913543463487,1215,0.021338543099115162,1215,153,0,0,0,784,0.00013351625059665074,0.25205761316872427,tosa_concat_default_14
Table,LUT,NPU,153696,25.10584914536616,1230,0.021601981902807942,1230,200,0,0,0,1029,0.0001752400789081041,0.32679115853658536,tosa_table_default_64
Conv2D,Conv2D,NPU,156832,25.618106737755475,48683,0.8549994186783731,48683,1225,34545,0,0,7225344,1.2304857654987333,57.97506316373272,tosa_table_default_48
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_48
Conv2D,Conv2D,NPU,147424,24.08133396058753,12395,0.21768826478480036,12395,306,9301,0,0,1806336,0.30762144137468334,56.926179911254536,tosa_table_default_49
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_49
Conv2D,Conv2D,NPU,151936,24.81835763943338,15624,0.2743978579263994,1314,2582,15624,0,0,200704,0.03418016015274259,5.017921146953405,tosa_transpose_default_2
Transpose,Transpose,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_transpose_default_2
Concat,MemoryCopy,NPU,210144,34.326485808373846,2812,0.04938599439893978,2812,698,0,0,0,3136,0.000534065002386603,0.43563300142247513,tosa_concat_default_13
Conv2D,Conv2D,NPU,219552,35.86325858554179,78257,1.3743953640390578,78257,7000,39384,0,0,14450688,2.4609715309974667,72.13156650523275,tosa_table_default_46
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_46
Conv2D,Conv2D,NPU,240064,39.213841409231094,39281,0.6898759765237388,39281,4658,3124,0,0,7225344,1.2304857654987333,71.85153127466205,tosa_table_default_47
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_47
Conv2D,Conv2D,NPU,211728,34.585228163713346,12499,0.21951477382373696,4460,4380,12499,0,0,802816,0.13672064061097036,25.090007200576046,tosa_transpose_default_1
Transpose,Transpose,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_transpose_default_1
Concat,MemoryCopy,NPU,194464,31.765197846427263,7038,0.12360548669265227,7038,2450,0,0,0,12544,0.002136260009546412,0.6962205171923842,tosa_concat_default_13
Conv2D,Conv2D,NPU,269728,44.059380063770845,152195,2.672937915201508,152195,19919,10937,0,0,28901376,4.921943061994933,74.17852097637899,tosa_table_default_44
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_44
Conv2D,Conv2D,NPU,269152,43.96529193455648,152195,2.672937915201508,152195,18942,10937,0,0,28901376,4.921943061994933,74.17852097637899,tosa_table_default_45
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_45
Conv2D,Conv2D,NPU,236640,38.65453975223459,49999,0.8781117830556864,15100,13760,49999,0,0,3211264,0.5468825624438814,25.0885017700354,tosa_transpose_default
Transpose,Transpose,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_transpose_default
Concat,MemoryCopy,NPU,181920,29.71616747687,25984,0.456346258343546,25984,9800,0,0,0,50176,0.008545040038185648,0.7543103448275862,tosa_concat_default_13
Transpose,Transpose,NPU,198304,32.39245204118969,34560,0.6069630037081646,34560,6431,0,0,0,65856,0.011215365050118662,0.7443576388888888,tosa_transpose_default_6
ReduceMax,ReduceMax,NPU,136608,22.314567978673356,9304,0.16340230863717486,9304,3250,0,0,0,65856,0.011215365050118662,2.7649398108340497,aten_amax_default
Sub,Sub,NPU,203168,33.1869740212221,16640,0.29224144622985704,16640,4290,0,0,0,0,0.0,0.0,tosa_table_default_62
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_62
Rescale,Rescale,NPU,395872,64.66468036171659,35136,0.6170790537699673,35136,6500,0,0,0,65856,0.011215365050118662,0.7321550546448088,tosa_rescale_default_99
